,B,I,,,,
,-45.18926,5.270802,,,,
,-45.16484,5.190115,,,,
,-45.14042,5.099617,,,,
,-45.116,5.012996,,,,
,-45.09158,4.903632,,,,
,-45.06716,4.737765,,,,
,-45.04274,4.555895,,,,
,-45.01832,4.326407,,,,
,-44.99389,3.957251,,,,
,-44.96947,3.519453,,,,
,-44.94505,3.051884,,,,
,-44.92063,2.527811,,,,
,-44.89621,1.980244,,,,
,-44.87179,1.492156,,,,
,-44.84737,1.04765,,,,
,-44.82295,0.6075718,,,,
,-44.79853,0.2368204,,,,
,-44.77411,-0.04698876,,,,
,-44.74969,-0.271476,,,,
,-44.72527,-0.4093058,,,,
,-44.70085,-0.4927275,,,,
,-44.67643,-0.5328744,,,,
,-44.65201,-0.4881508,,,,
,-44.62759,-0.4113749,,,,
,-44.60317,-0.3365884,,,,
,-44.57875,-0.2298184,,,,
,-44.55433,-0.07599734,,,,
,-44.52991,0.1040923,,,,
,-44.50549,0.2584465,,,,
,-44.48107,0.3412208,,,,
,-44.45665,0.365491,,,,
,-44.43223,0.3969874,,,,
,-44.40781,0.4685642,,,,
,-44.38339,0.549412,,,,
,-44.35897,0.6505191,,,,
,-44.33455,0.8158239,,,,
,-44.31013,1.0198,,,,
,-44.28571,1.214009,,,,
,-44.26129,1.388729,,,,
,-44.23687,1.545553,,,,
,-44.21245,1.659338,,,,
,-44.18803,1.762476,,,,
,-44.16361,1.885563,,,,
,-44.13919,2.034536,,,,
,-44.11477,2.222386,,,,
,-44.09035,2.424248,,,,
,-44.06593,2.616092,,,,
,-44.04151,2.749437,,,,
,-44.01709,2.802549,,,,
,-43.99267,2.768078,,,,
,-43.96825,2.719606,,,,
,-43.94383,2.705589,,,,
,-43.91941,2.706735,,,,
,-43.89499,2.698624,,,,
,-43.87057,2.670396,,,,
,-43.84615,2.674718,,,,
,-43.82173,2.691006,,,,
,-43.79731,2.648019,,,,
,-43.77289,2.571181,,,,
,-43.74847,2.49638,,,,
,-43.72405,2.465528,,,,
,-43.69963,2.479884,,,,
,-43.67521,2.530899,,,,
,-43.65079,2.596592,,,,
,-43.62637,2.626645,,,,
,-43.60195,2.62421,,,,
,-43.57753,2.615408,,,,
,-43.55311,2.574367,,,,
,-43.52869,2.507384,,,,
,-43.50427,2.427705,,,,
,-43.47985,2.332187,,,,
